call_index,recording_url,clip_filename,customer_said_in_audio,transcript_showed,turn_number,type,impact,clip_start,clip_end,confidence,error
75,https://grassroots-recording.avishkarai.com/3ff94483-4aca-43c1-92a5-3301c379780d.wav,call_75_issue_1.wav,India one,India India open,8,word,low,38.0,40.0,high,
69,https://grassroots-recording.avishkarai.com/99d0e9b7-1d16-476e-ba9c-f286907bda74.wav,,Likely asking about their specific bank's customer care,Bank का customer नहीं in the same bank चाहता हूं sir ma'am मेरा.,25,word,medium,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a string at line 1 column 70 [type=json_invalid, input_value='{""start_seconds"":197.7,""...nd"":true,""confidence"":""', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
79,https://grassroots-recording.avishkarai.com/65be79db-5e43-4c1f-b6d1-9dd5708f4c8d.wav,call_79_issue_1.wav,पच्चीस फरवरी दो हज़ार छब्बीस,पच्चीस फरवरी दो हज़ार छब्बीस,17,date,medium,131.3,135.0,high,
76,https://grassroots-recording.avishkarai.com/2db1be37-cdb6-4ef3-931e-8c237468435e.wav,call_76_issue_1.wav,Azamgarh,आ जाऊंगा,3,name,low,13.1,14.9,high,
77,https://grassroots-recording.avishkarai.com/814fc3ae-e649-42da-8c36-db2bc958869b.wav,call_77_issue_1.wav,कार्ड,काट,4,word,low,27.8,29.1,high,
78,https://grassroots-recording.avishkarai.com/c98dcd15-49d4-43b7-a437-a7150b226c9c.wav,call_78_issue_2.wav,Unclear digits/mumbling,बत्तीस. कितनी?,5,number,medium,14.5,17.5,high,
66,https://grassroots-recording.avishkarai.com/51cee43b-88a0-455d-a08b-c6134b01cc7c.wav,,Likely 'seven one three four seven seven',sun mein nahi saver one three four seven seven,32-33,number,medium,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a value at line 3 column 23 [type=json_invalid, input_value='{\n  ""start_seconds"": 22...  ""end_seconds"": 228.0,', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
77,https://grassroots-recording.avishkarai.com/814fc3ae-e649-42da-8c36-db2bc958869b.wav,call_77_issue_2.wav,Unclear/Background noise,और mother franchise,18,word,low,131.0,153.0,high,
80,https://grassroots-recording.avishkarai.com/93726262-d011-4658-9851-6efbc6302560.wav,call_80_issue_1.wav,QR generate,सेवा generate,2,word,high,13.1,15.1,high,
76,https://grassroots-recording.avishkarai.com/2db1be37-cdb6-4ef3-931e-8c237468435e.wav,call_76_issue_2.wav,Unclear/Filler,UC,12,word,low,178.0,181.0,high,
81,https://grassroots-recording.avishkarai.com/6325cdc1-9d6d-4d73-98c0-dd3b5fe2cd72.wav,call_81_issue_1.wav,light chali gayi... balance kat gaya,flight चली गई... balance फ़ट गया,8,word,medium,26.3,30.3,high,
84,https://grassroots-recording.avishkarai.com/54d69fd5-e43e-4726-8df8-938e7daeafef.wav,call_84_issue_1.wav,unknown/background noise,बैठो,7,word,low,51.5,54.5,high,
80,https://grassroots-recording.avishkarai.com/93726262-d011-4658-9851-6efbc6302560.wav,call_80_issue_2.wav,scan karke / scanner,thumbnail,4,word,high,15.3,17.3,high,
81,https://grassroots-recording.avishkarai.com/6325cdc1-9d6d-4d73-98c0-dd3b5fe2cd72.wav,call_81_issue_2.wav,ATM card,ATM पहाड़,17,word,high,56.8,58.8,high,
79,https://grassroots-recording.avishkarai.com/65be79db-5e43-4c1f-b6d1-9dd5708f4c8d.wav,call_79_issue_2.wav,Four five six one... Five zero four... (then corrected to) चार पांच छह एक पांच तीन zero चार,Four five six one... Five zero four... चार पांच छह एक पांच तीन zero चार,7-13,number,low,59.0,117.5,high,
83,https://grassroots-recording.avishkarai.com/7ae728f2-8f9a-46c2-8b00-bc7e28927cc0.wav,call_83_issue_1.wav,four five... four zero one seven four zero,"ATM ID है four five 
 four zero one seven four zero.",12-13,number,low,57.0,61.0,high,
80,https://grassroots-recording.avishkarai.com/93726262-d011-4658-9851-6efbc6302560.wav,call_80_issue_3.wav,transaction,तन्मय,10,word,medium,104.3,106.1,high,
85,https://grassroots-recording.avishkarai.com/9484c5f3-00c1-4c02-a535-6c890d7209a8.wav,call_85_issue_1.wav,4545401740,"Fragmented across multiple turns: 'four five', 'four five', 'four zero one seven', 'four.', 'Zero.'",10-15,number,high,56.7,61.7,high,
86,https://grassroots-recording.avishkarai.com/8a2813ef-79d9-431d-979d-782c331d23fc.wav,call_86_issue_1.wav,नियमों (niyamo),NAMO,23,word,low,137.9,139.4,high,
82,https://grassroots-recording.avishkarai.com/d07c280e-cae6-44cb-85a3-92b9a5c129c7.wav,call_82_issue_1.wav,UTR number,U TR number,9,word,low,60.8,63.0,high,
91,https://grassroots-recording.avishkarai.com/3b7d8759-d3f0-4dff-9576-00a1e0d9a856.wav,call_91_issue_1.wav,unclear/background noise,पता,6,word,low,31.5,52.5,high,
88,https://grassroots-recording.avishkarai.com/f83e3584-0cfa-4ced-be28-3a7b36e42c32.wav,call_88_issue_1.wav,India One ATM,Indian air / Indian Eteam,"5, 6",name,low,19.7,22.1,high,
81,https://grassroots-recording.avishkarai.com/6325cdc1-9d6d-4d73-98c0-dd3b5fe2cd72.wav,call_81_issue_3.wav,45 32 91 0 2,पैंतालीस बत्तीस इक्यानवे zero को,"23, 25",number,high,92.3,97.0,high,
90,https://grassroots-recording.avishkarai.com/34eb89f3-afbd-4318-8313-7c07ae176066.wav,call_90_issue_1.wav,Unclear (likely 'Card' or a background noise),साठ seven.,7,word,high,33.0,35.5,high,
89,https://grassroots-recording.avishkarai.com/bdbce3ea-cf3b-48d8-b35f-415c5c7223a7.wav,call_89_issue_1.wav,User paused while reading ATM ID,"Bot interrupted, then appended '42' to the end of the ATM ID making it 10 digits (4542350742)",13-16,number,medium,54.8,62.2,high,
88,https://grassroots-recording.avishkarai.com/f83e3584-0cfa-4ced-be28-3a7b36e42c32.wav,call_88_issue_2.wav,Card se,काट से काट से,17,word,medium,12.3,14.3,high,
92,https://grassroots-recording.avishkarai.com/de7abcc1-0e1c-429d-b31a-5b204a7bf23a.wav,call_92_issue_1.wav,छह अंक,छह छह uncle,19,word,medium,1.267,1.283,high,
94,https://grassroots-recording.avishkarai.com/cd40803d-59b6-4fa2-b834-933a7e886bfa.wav,call_94_issue_1.wav,Gmail ID / ATM ID,Gmail ID,18,word,medium,61.0,63.0,high,
81,https://grassroots-recording.avishkarai.com/6325cdc1-9d6d-4d73-98c0-dd3b5fe2cd72.wav,call_81_issue_4.wav,paise kab milenge mere ko,cheque कब मिलेंगे मेरे को,34,word,medium,138.1,140.6,high,
95,https://grassroots-recording.avishkarai.com/95f1633e-e797-4579-a760-2c287c3f8288.wav,call_95_issue_1.wav,"Unclear, likely 'अड़तालीस घंटा मेरा हो गया' or similar timeframe reference",चालीस साल का मेरा हो गया,6,word,high,41.3,44.7,high,
96,https://grassroots-recording.avishkarai.com/9533b1e6-005f-4f5c-9d74-d974783766fe.wav,call_96_issue_1.wav,UPI है / ATM ID है,यह आई आई है.,20,word,high,50.5,52.5,high,
94,https://grassroots-recording.avishkarai.com/cd40803d-59b6-4fa2-b834-933a7e886bfa.wav,call_94_issue_2.wav,पैसे कटे,पैसे कुछ,25,word,low,314.0,315.5,high,
93,https://grassroots-recording.avishkarai.com/6d786a46-82f6-410f-855f-1efe93af27ef.wav,call_93_issue_1.wav,Double two पांच एक,Double two पास एक,9,number,high,50.4,52.8,high,
96,https://grassroots-recording.avishkarai.com/9533b1e6-005f-4f5c-9d74-d974783766fe.wav,call_96_issue_2.wav,दीजिये,जियो.,29,word,low,150.3,151.8,high,
98,https://grassroots-recording.avishkarai.com/b4fd1ae6-1799-45ec-9f58-6511db449d31.wav,call_98_issue_1.wav,कल [unclear/cut off],कल out,2,word,low,12.3,14.5,high,
97,https://grassroots-recording.avishkarai.com/1168ba8a-8344-4bcc-971c-2a56bd8a5e48.wav,call_97_issue_1.wav,double two,double तो,20,number,high,71.7,73.5,high,
98,https://grassroots-recording.avishkarai.com/b4fd1ae6-1799-45ec-9f58-6511db449d31.wav,call_98_issue_2.wav,India One ATM में,NDA में,3,name,medium,13.3,15.7,high,
93,https://grassroots-recording.avishkarai.com/6d786a46-82f6-410f-855f-1efe93af27ef.wav,call_93_issue_2.wav,Unclear/mumbled Hindi regarding time,आगे की judge से याद है,11,word,low,62.9,65.7,high,
99,https://grassroots-recording.avishkarai.com/fa029943-f8e6-45d3-9f65-2ccca54d87ca.wav,call_99_issue_1.wav,Unclear/Garbled,और कोई जो bank से पैसा काजलन है हमारे sir?,18,word,medium,111.8,115.2,high,
90,https://grassroots-recording.avishkarai.com/34eb89f3-afbd-4318-8313-7c07ae176066.wav,call_90_issue_2.wav,Unclear year (likely 2024 or 2023),दो हज़ार छब्बीस,13,date,medium,59.0,61.0,high,
97,https://grassroots-recording.avishkarai.com/1168ba8a-8344-4bcc-971c-2a56bd8a5e48.wav,call_97_issue_2.wav,urgent में चाहिए,r z में चाहिए,31,word,medium,150.9,152.9,high,
100,https://grassroots-recording.avishkarai.com/e8e78ac6-4df0-414f-aec7-51b2883c8103.wav,call_100_issue_1.wav,Four double six,Four double six,22,number,medium,56.3,58.5,high,
99,https://grassroots-recording.avishkarai.com/fa029943-f8e6-45d3-9f65-2ccca54d87ca.wav,call_99_issue_2.wav,Unclear/Garbled,और तो ही खर्चा ATM वाले थोड़ा. हां तो बताइए हो तो अभी ना bank. हां loan ATM payment bank.,19,word,medium,116.0,121.5,high,
